Stadtteil,EinwohnerGesamt,EinwohnerGesamtWeiblich,MighintergrundGesamt,MighintergrundWeiblich,AuslaenderGesamt,AuslaenderWeiblich,EingebürgertGesamt,EingebürgertWeiblich,BinationalGesamt,BinationalWeiblich,AuslandGeborenGesamt,AuslandgeborenWeiblich,NichtDeutschElternGesamt,NichtDeutschElternWeiblich
Altstadt,631,343,126,74,72,41,25,15,12,7,14,9,3,2
Vorstadt,1124,547,264,119,150,68,52,19,31,15,15,9,16,8
Exerzierplatz,6397,3323,942,446,463,194,191,96,148,89,91,44,49,23
Damperhof,3301,1775,498,250,225,111,112,55,73,44,56,28,32,12
Brunswik,6453,3549,967,500,412,219,215,112,177,89,97,48,66,32
Düsternbrook,3066,1547,634,300,451,204,49,23,66,38,51,26,17,9
Blücherplatz,11029,5990,1088,576,430,229,217,110,194,107,151,82,96,48
Wik,18615,9643,2751,1411,1194,624,646,322,392,208,254,129,265,128
Ravensberg,12005,6394,1798,909,952,460,280,143,280,149,183,105,103,52
Schreventeich,11771,6030,1504,715,615,287,347,156,282,149,147,73,113,50
Südfriedhof,14724,7582,2289,1136,1002,512,484,223,391,195,211,107,201,99
Gaarden-Ost,17110,7837,8121,3691,4538,2083,1912,829,806,377,266,116,599,286
Gaarden-Süd/Kronsburg,10440,5197,1926,914,958,458,444,199,226,100,135,70,163,87
Hassee,12194,6062,2036,959,859,401,481,223,331,166,172,75,193,94
Hasseldieksdamm,2818,1476,333,178,99,60,82,42,56,24,61,30,35,22
Ellerbek,5844,2919,1614,785,637,332,481,209,228,113,89,49,179,82
Wellingdorf,7994,4131,1754,854,713,351,517,248,233,111,106,61,185,83
Holtenau,5199,2669,433,230,169,91,92,54,67,29,69,34,36,22
Pries,7341,3772,1000,498,453,207,216,116,154,77,92,55,85,43
Friedrichsort,2090,1071,402,190,189,79,78,37,63,36,31,19,41,19
Neumühlen/Dietrichsdorf,11972,6143,2493,1244,1048,517,629,321,368,176,173,93,275,137
Elmschenhagen,17099,8795,2509,1280,808,421,789,366,383,210,179,100,350,183
Suchsdorf,9428,4857,931,469,253,138,255,120,148,73,150,78,125,60
Schilksee,5065,2677,601,319,171,86,153,87,109,59,111,56,57,31
Mettenhof,19142,9869,8415,4173,2633,1354,2820,1348,1581,787,520,263,861,421
Russee,7054,3617,822,430,218,124,264,132,159,87,77,37,104,50
Meimersdorf,2997,1495,556,288,115,63,200,106,92,42,61,37,88,40
Moorsee,1981,971,386,185,105,53,111,54,54,25,50,21,66,32
Wellsee,5077,2542,1038,521,282,162,299,135,171,85,90,48,196,91
Rönne,425,214,12,7,8,4,1,1,3,2,-,-,-,-
KielGesamt,240386,123037,48243,23651,20222,9933,12442,5901,7278,3669,3702,1902,4599,2246
