Stadtteil,Gesamt,Maennlich,Weiblich,Deutsche,Auslaender,>20,20-<25,25-<65
Altstadt,182,97,85,164,18,-,25,157
Vorstadt,417,226,191,383,34,3,45,369
Exerzierplatz,2.458,1.250,1.208,2.330,128,31,279,2.148
Damperhof,1.143,559,584,1.082,61,9,130,1.004
Brunswik,2.356,1.103,1.253,2.244,112,25,287,2.044
Düsternbrook,623,317,306,561,62,2,34,587
Blücherplatz,4.014,1.882,2.132,3.890,124,26,268,3.720
Wik,5.943,2.940,3.003,5.660,283,121,516,5.306
Ravensberg,4.212,2.051,2.161,4.005,207,50,412,3.750
Schreventeich,4.184,2.142,2.042,4.038,146,67,541,3.576
Südfriedhof,5.578,2.700,2.878,5.338,240,98,768,4.712
Gaarden-Ost,4.014,2.390,1.624,3.236,778,135,547,3.332
Gaarden-Süd/Kronsburg,3.246,1.726,1.520,3.070,176,89,302,2.855
Hassee,4.171,2.153,2.018,3.979,192,123,484,3.564
Hasseldieksdamm,797,404,393,780,17,16,59,722
Ellerbek,1.732,956,776,1.578,154,62,159,1.511
Wellingdorf,2.670,1.399,1.271,2.493,177,67,340,2.263
Holtenau,1.649,838,811,1.613,36,43,96,1.510
Pries,2.324,1.218,1.106,2.225,99,95,190,2.039
Friedrichsort,684,370,314,638,46,19,72,593
Neumühlen/Dietrichsdorf,3.672,2.010,1.662,3.442,230,170,402,3.100
Elmschenhagen,6.053,3.167,2.886,5.845,208,276,485,5.292
Suchsdorf,2.534,1.304,1.230,2.485,49,85,157,2.292
Schilksee,1.258,656,602,1.214,44,34,62,1.162
Mettenhof,4.673,2.566,2.107,4.274,399,191,510,3.972
Russee,2.441,1.226,1.215,2.377,64,73,163,2.205
Meimersdorf,885,453,432,862,23,25,62,798
Moorsee,581,290,291,562,19,24,35,522
Wellsee,1.932,1.000,932,1.853,79,80,141,1.711
Rönne,144,72,72,142,2,4,8,132
nichtZuzuordnen,1.239,641,598,1.163,76,17,52,1.170
KielGesamt,77.809,40.106,37.703,73.526,4.283,2.060,7.631,68.118
