Stadtteil,Gesamt,Maennlich,Weiblich,Deutsche,Auslaender,>20,20-<25,25-<65,ProzentAnteil_15-<65
Altstadt,215,121,94,194,21,1,30,184,524
Vorstadt,459,254,205,420,39,7,59,393,534
Exerzierplatz,2525,1250,1275,2408,117,18,326,2181,522
Damperhof,1196,568,628,1130,66,11,139,1046,487
Brunswik,2502,1194,1308,2370,132,28,280,2194,526
Düsternbrook,687,334,353,605,82,5,43,639,348
Blücherplatz,4171,1925,2246,4031,140,26,290,3855,508
Wik,6560,3249,3311,6218,342,94,576,5890,509
Ravensberg,4467,2175,2292,4257,210,28,434,4005,457
Schreventeich,4347,2214,2133,4177,170,63,546,3738,473
Südfriedhof,5952,2932,3020,5672,280,76,853,5023,520
Gaarden-Ost,4433,2723,1710,3402,1031,140,560,3733,358
Gaarden-Süd/Kronsburg,3336,1775,1561,3140,196,59,279,2998,477
Hassee,4386,2248,2138,4137,249,111,509,3766,506
Hasseldieksdamm,882,449,433,864,18,12,66,804,507
Ellerbek,1814,1035,779,1663,151,43,203,1568,487
Wellingdorf,2772,1435,1337,2573,199,71,328,2373,526
Holtenau,1716,894,822,1676,40,40,98,1578,524
Pries,2329,1207,1122,2230,99,61,186,2082,493
Friedrichsort,688,382,306,640,48,14,51,623,496
Neumühlen/Dietrichsdorf,3748,2051,1697,3502,246,134,399,3215,479
Elmschenhagen,6112,3186,2926,5904,208,204,530,5378,533
Suchsdorf,2820,1436,1384,2752,68,65,162,2593,493
Schilksee,1229,629,600,1189,40,28,57,1144,466
Mettenhof,4785,2632,2153,4369,416,185,456,4144,402
Russee,2434,1236,1198,2374,60,61,142,2231,510
Meimersdorf,1196,610,586,1158,38,25,57,1114,599
Moorsee,741,383,358,707,34,22,48,671,571
Wellsee,1960,997,963,1873,87,66,153,1741,568
Rönne,143,70,73,141,2,3,9,131,509
nichtZuzuordnen,294,148,146,260,34,9,23,262,x
KielGesamt,80899,41742,39157,76036,4863,1710,7892,71297,486
