Stadtteil,Gesamt,Maennlich,Weiblich,SGBIII,SGBII,Deutsche,Auslaender,>20,20-<25,25-<54,55+,Langzeit,Schwerbehindert,Teilzeit,ProzentAnteil_15-<65
Altstadt,25,17,8,5,20,22,3,-,2,19,4,4,-,3,6.0
Vorstadt,47,33,14,10,37,43,4,-,1,39,7,19,1,2,5.5
Exerzierplatz,364,259,105,90,274,332,32,3,32,283,46,94,15,25,7.5
Damperhof,149,112,37,44,105,133,16,2,7,125,15,51,10,9,6.2
Brunswik,222,132,90,63,159,192,30,-,11,185,26,85,8,28,4.7
Düsternbrook,32,16,16,16,16,31,1,-,-,28,4,9,1,2,1.6
Blücherplatz,246,118,128,129,117,230,16,1,13,200,32,49,10,29,3.0
Wik,592,298,294,205,387,528,64,11,47,443,91,186,28,93,4.5
Ravensberg,369,212,157,119,250,341,28,3,22,284,60,112,19,35,3.7
Schreventeich,439,286,153,129,310,395,42,3,34,343,59,140,14,39,4.8
Südfriedhof,800,494,306,199,601,701,98,7,57,633,103,276,30,83,7.0
Gaarden-Ost,2.195,1.369,826,211,1.984,1.648,543,47,132,1.779,237,754,91,222,18.0
Gaarden-Süd/Kronsburg,588,351,237,123,465,491,96,3,42,457,86,193,17,69,8.4
Hassee,715,476,239,168,547,639,75,16,51,557,91,237,28,106,8.2
Hasseldieksdamm,76,46,30,25,51,72,4,1,2,59,14,25,5,14,4.4
Ellerbek,406,235,171,72,334,306,100,9,29,299,69,155,15,50,10.8
Wellingdorf,581,309,272,121,460,484,96,8,55,428,90,213,26,101,11.0
Holtenau,147,83,64,47,100,137,10,4,10,104,29,51,9,14,4.5
Pries,354,185,169,106,248,323,31,9,34,239,72,97,14,61,7.6
Friedrichsort,86,51,35,21,65,74,12,2,4,59,21,27,2,19,6.2
Neumühlen/Dietrichsdorf,907,522,385,144,763,776,130,12,71,691,133,384,42,191,11.5
Elmschenhagen,789,444,345,220,569,697,91,16,67,586,120,235,22,131,6.8
Suchsdorf,202,116,86,90,112,186,16,1,20,143,38,54,7,49,3.5
Schilksee,145,73,72,54,91,130,15,2,12,93,38,60,4,29,5.4
Mettenhof,1.790,958,832,189,1.601,1.342,445,39,124,1.394,233,639,54,309,14.9
Russee,191,92,99,90,101,167,23,2,16,127,46,61,3,41,4.0
Meimersdorf,64,31,33,33,31,59,5,-,4,47,13,10,8,15,3.2
Moorsee,35,14,21,20,15,32,3,-,4,26,5,6,1,4,2.8
Wellsee,213,129,84,75,138,186,27,5,20,164,24,45,11,32,6.2
Rönne,7,2,5,4,3,7,-,-,-,5,2,3,2,3,2.6
nichtZuzuordnen,7,3,4,3,4,5,2,-,-,5,2,2,1,2,-
KielGesamt,12.783,7.466,5.317,2.825,9.958,10.709,2.058,206,923,9.844,1.810,4.276,498,1.810,7.7
