Stadtteil,Gesamt,18-<65,65+,Gesamt_inProzent,18-<65_Prozent,65+
Altstadt,6,1,5,100,024,270
Vorstadt,17,6,11,159,069,545
Exerzierplatz,89,40,49,148,083,411
Damperhof,56,33,23,182,134,383
Brunswik,79,40,39,133,084,326
Düsternbrook,10,7,3,038,036,044
Blücherplatz,73,34,39,076,042,245
Wik,179,66,113,111,052,323
Ravensberg,84,41,43,076,042,332
Schreventeich,192,75,117,179,082,716
Südfriedhof,251,127,124,185,111,590
Gaarden-Ost,994,464,530,699,384,2499
Gaarden-Süd/Kronsburg,227,121,106,255,179,495
Hassee,252,151,101,237,179,465
Hasseldieksdamm,46,11,35,198,067,515
Ellerbek,157,61,96,318,172,691
Wellingdorf,153,66,87,220,130,466
Holtenau,68,21,47,151,067,339
Pries,143,73,70,232,163,413
Friedrichsort,33,15,18,184,118,343
Neumühlen/Dietrichsdorf,271,133,138,271,177,559
Elmschenhagen,245,138,107,173,128,318
Suchsdorf,106,42,64,139,078,289
Schilksee,92,25,67,203,100,331
Mettenhof,541,227,314,366,202,885
Russee,57,28,29,097,062,208
Meimersdorf,8,4,4,037,021,145
Moorsee,11,7,4,072,056,145
Wellsee,50,23,27,123,070,347
Rönne,-,-,-,-,-,-
nichtZuzuordnen,103,97,6,x,x,x
ausserhalbVonEinrichtungen,4593,2177,2416,223,135,542
zudemInEinrichtungen,792,519,273,038,032,061
KielGesamt,5385,2696,2689,261,167,603
