Stadtteil,EinwohnerGesamt,EinwohnerGesamtWeiblich,MighintergrundGesamt,MighintergrundWeiblich,AuslaenderGesamt,AuslaenderWeiblich,EingebürgertGesamt,EingebürgertWeiblich,BinationalGesamt,BinationalWeiblich,AuslandGeborenGesamt,AuslandgeborenWeiblich,NichtDeutschElternGesamt,NichtDeutschElternWeiblich
Altstadt,614,316,116,62,70,40,18,9,11,7,14,6,3,-
Vorstadt,1.089,519,232,113,131,64,45,17,26,13,15,11,15,8
Exerzierplatz,6.312,3.300,905,433,443,194,173,79,126,82,107,55,56,23
Damperhof,3.186,1.691,425,211,176,86,101,47,64,36,53,32,31,10
Brunswik,6.234,3.410,839,434,358,189,182,89,144,77,88,44,67,35
Düsternbrook,2.969,1.519,574,285,407,192,34,20,61,34,51,26,21,13
Blücherplatz,10.903,5.920,1.058,541,410,210,217,106,166,87,157,87,108,51
Wik,18.434,9.662,2.670,1.364,1.186,623,591,295,381,192,263,134,249,120
Ravensberg,11.793,6.319,1.650,861,843,424,260,130,238,124,215,131,94,52
Schreventeich,11.535,5.943,1.378,666,544,269,300,128,254,126,174,84,106,59
Südfriedhof,14.530,7.558,2.125,1.060,932,483,462,219,320,152,208,106,203,100
Gaarden-Ost,16.364,7.601,7.310,3.417,3.975,1.901,1.759,780,665,323,287,120,624,293
Gaarden-Süd/Kronsburg,10.440,5.213,1.830,854,920,434,376,157,202,89,147,82,185,92
Hassee,12.096,6.020,1.992,938,847,400,454,211,305,141,188,89,198,97
Hasseldieksdamm,2.804,1.467,318,164,95,52,78,37,53,24,59,27,33,24
Ellerbek,5.793,2.871,1.432,662,601,284,406,172,181,92,88,45,156,69
Wellingdorf,7.956,4.146,1.595,792,656,340,465,220,205,97,111,65,158,70
Holtenau,5.180,2.657,400,211,162,85,76,40,61,34,62,29,39,23
Pries,7.258,3.687,960,482,419,203,202,105,147,69,98,55,94,50
Friedrichsort,2.183,1.086,489,186,285,81,81,37,54,33,27,16,42,19
Neumühlen/Dietrichsdorf,11.782,6.008,2.314,1.137,951,476,579,292,334,154,189,92,261,123
Elmschenhagen,17.130,8.816,2.333,1.193,765,401,712,330,346,189,163,90,347,183
Suchsdorf,9.460,4.885,896,456,252,139,234,113,144,67,140,73,126,64
Schilksee,5.175,2.731,597,328,144,76,169,93,106,61,116,61,62,37
Mettenhof,19.057,9.832,8.051,3.998,2.476,1.289,2.712,1.261,1.469,748,555,285,839,415
Russee,7.203,3.676,815,425,198,110,259,141,153,79,86,41,119,54
Meimersdorf,2.863,1.425,504,261,101,57,188,101,74,33,63,36,78,34
Moorsee,1.778,863,318,144,101,41,79,39,44,22,46,18,48,24
Wellsee,5.112,2.572,973,496,293,165,249,113,163,80,82,43,186,95
Rönne,422,216,13,7,7,4,1,1,5,2,-,-,-,-
KielGesamt,237.655,121.929,45.112,22.181,18.748,9.312,11.462,5.382,6.502,3.267,3.852,1.983,4.548,2.237
